date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
2007-05-18,48.9,70,0,0,0,7.83,30,16.11,40,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55,82,0,0,0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-10,59,79,0.02,0,0,7.83,220,17,220,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2009-10-14,46.9,61,0.14,0,0,8.72,40,14.99,50,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2009-10-17,45,57.9,0,0,0,6.26,30,14.09,40,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-29,48,68,0,0,0,5.82,80,14.99,70,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-03,37.9,71.1,0,0,0,2.01,20,8.05,290,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-10,55.9,63,0.88,0,0,4.7,30,16.11,30,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2009-11-16,42.1,73.9,0,0,0,0.89,80,8.05,100,12.08,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-17,46.9,63,0,0,0,5.82,50,14.09,50,17,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-11-18,52,62.1,0.45,0,0,8.28,40,16.11,50,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2009-11-19,57.9,73,0.01,0,0,5.14,250,10.07,250,14.99,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
2009-11-22,37,57,0.19,0,0,5.82,70,17,70,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2009-11-27,36,54,0,0,0,7.38,250,21.03,270,31.09,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-01,30,55.9,0,0,0,2.01,240,8.05,230,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-08,33.1,46,0.45,0,0,6.49,80,16.11,80,21.92,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2009-12-11,25,36,0,0,0,3.36,290,12.08,290,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-16,28.9,48.9,0,0,0,2.91,10,10.07,350,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-17,28,45,0,0,0,2.01,50,10.07,20,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-21,24.1,48.9,0,0,0,2.24,240,14.09,270,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-12-23,25,53.1,0,0,0,0.45,50,6.04,160,10.07,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-07,19.9,48,0,0,0,5.37,210,12.97,230,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-08,21.9,42.1,0.05,0,0,8.95,240,23.04,230,33.11,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2010-01-10,19,37,0,0,0,2.46,30,12.08,30,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-14,23,57,0,0,0,3.58,220,8.95,220,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-01-19,35.1,66,0,0,0,1.79,240,12.08,230,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-02-16,27,41,0,0,0,7.61,240,17.9,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-02-20,23,59,0,0,0,2.46,280,12.08,290,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-02-22,36,52,0.29,0,0,2.46,110,16.11,110,19.91,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
2010-03-02,33.1,42.1,0.29,0.2,0,9.62,50,19.91,10,25.95,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
2010-03-09,35.1,73,0,0,0,2.01,230,14.09,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-03-16,39,52,0,0,0,4.7,20,14.09,30,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-03-20,39.9,78.1,0,0,0,5.59,220,17,210,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-02,54,88,0,0,0,4.7,200,14.09,240,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-04,57.9,82.9,0,0,0,3.58,220,12.97,230,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-06,62.1,90,0,0,0,10.29,230,23.04,230,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-04-14,41,57,0,0,0,7.61,50,16.11,50,23.94,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-02,72,91.9,0,0,0,13.87,230,23.94,230,33.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-10,42.1,68,0,0,0,4.47,80,16.11,70,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-14,64.9,93.9,0,0,0,7.61,240,14.99,240,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
2010-05-16,66.9,82,0.12,0,0,4.92,120,14.99,120,19.91,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No
2010-05-20,57.9,79,0,0,0,2.68,30,8.95,40,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-26,62.1,82.9,0,0,0,5.82,50,16.11,50,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-05-28,64,87.1,0.41,0,0,6.71,230,25.05,220,31.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-06-01,69.1,84.9,0.29,0,0,6.49,160,19.91,170,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2010-06-02,71.1,88,0.01,0,0,4.7,140,12.97,140,17,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
2010-06-14,71.1,93,0,0,0,3.8,270,12.97,240,19.91,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-06-15,72,93.9,0.01,0,0,2.46,230,14.99,220,17,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-06-25,77,93.9,0,0,0,4.47,190,14.09,190,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-06-27,73,100.9,0,0,0,8.05,230,17.9,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-20,73,98.1,0.64,0,0,7.61,280,29.97,280,44.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-07-21,75,97,0,0,0,7.83,230,17,260,29.08,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-24,79,100,0,0,0,9.62,230,17.9,240,25.95,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2010-07-28,73.9,93.9,0,0,0,5.14,250,12.97,220,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-30,73,89.1,0,0,0,5.59,60,14.09,30,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-07-31,64,78.1,0.12,0,0,2.91,100,10.07,110,16.11,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2010-08-03,71.1,91,0,0,0,3.8,190,10.07,150,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-08-14,73.9,88,0,0,0,7.61,90,14.09,90,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-08-18,75,96.1,0.1,0,0,6.49,240,19.91,230,27.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-08-21,66.9,90,0,0,0,3.36,130,12.97,140,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
2010-08-23,72,89.1,0,0,0,4.25,100,16.11,70,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-08-28,70,90,0,0,0,2.68,50,12.97,110,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
2010-08-31,64.9,97,0,0,0,2.24,50,10.07,30,16.11,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-08,71.1,91,0,0,0,8.95,280,17.9,270,23.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-10,57.9,88,0,0,0,5.37,30,14.09,10,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-12,64.9,88,0.03,0,0,3.8,290,12.97,340,21.92,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2010-09-13,63,87.1,0,0,0,3.58,60,16.11,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-14,60.1,96.1,0,0,0,4.03,280,16.11,280,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-19,60.1,93,0,0,0,2.01,80,10.07,130,14.99,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-20,64,93,0,0,0,4.7,50,14.09,30,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-22,70,96.1,0,0,0,8.5,240,17.9,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-23,71.1,99,0,0,0,6.71,220,14.99,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-24,70,96.1,0,0,0,7.83,170,14.99,230,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-09-30,68,77,1.84,0,0,7.83,160,21.92,170,31.09,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
2010-10-05,46.9,69.1,0,0,0,4.03,290,14.99,310,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-07,46.9,82,0,0,0,5.59,260,17.9,270,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-12,57,88,0,0,0,3.8,230,14.09,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-20,52,64.9,0.1,0,0,2.24,40,8.05,50,12.08,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
2010-10-22,43,68,0,0,0,2.91,290,10.07,330,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-24,46.9,78.1,0,0,0,5.82,230,16.11,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-10-30,36,64.9,0,0,0,5.82,220,17,250,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-11-01,46,63,0,0,0,8.5,50,16.11,50,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-11-03,45,55.9,0.02,0,0,4.03,40,10.07,40,12.97,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2010-11-11,39.9,66,0,0,0,4.03,40,14.99,40,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-11-15,39.9,70,0,0,0,1.79,230,8.05,150,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-11-16,54,66.9,0.38,0,0,8.28,250,25.05,280,36.91,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2010-11-17,39.9,64.9,0.09,0,0,7.16,240,31.09,250,42.95,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2010-11-24,46,63,0,0,0,5.14,80,12.08,120,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-12-09,19.9,42.1,0,0,0,2.24,350,8.05,300,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-12-12,36,52,0.4,0,0,7.61,190,21.03,240,29.97,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
2010-12-14,16,35.1,0,0,0,10.07,280,17.9,300,31.09,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2010-12-24,21.9,46.9,0,0,0,0.89,350,8.95,340,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2010-12-31,28.9,61,0,0,0,2.91,230,14.09,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-01-05,26.1,46,0,0,0,0.67,150,6.04,20,8.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-01-09,19,35.1,0,0,0,4.03,330,12.97,300,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-01-18,32,46.9,0,0,0,4.7,20,12.97,10,21.92,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-01-21,28,46.9,0,0,0,7.16,300,17.9,290,31.99,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-01-22,17.1,32,0,0,0,5.82,50,14.09,40,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-01-26,37.9,43,0.37,0,0,6.26,280,14.99,290,25.05,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-01-27,28,48,0,0,0,2.68,240,12.08,240,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-01-28,28,55.9,0,0,0,4.47,270,17,270,23.94,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2011-02-01,34,53.1,0,0,0,4.47,160,8.95,160,14.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-02-05,35.1,48.9,0.92,0,0,8.05,230,21.03,230,25.95,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-02-06,30,54,0,0,0,2.01,240,8.95,220,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-02-11,21,51.1,0,0,0,1.12,330,6.93,320,10.07,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
